City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
BRIDGEPORT,2009,2977.8,20596.0,1204.1,125.2,False,222867074.0,214369477.0,21288.93
BRIDGEPORT,2010,3011.3,20307.0,1167.9,128.0,False,205130582.0,185155817.0,21022.7
BRIDGEPORT,2011,2980.2000000000007,20457.0,1135.3,126.2,False,229559379.0,207535677.0,20949.07
BRIDGEPORT,2012,2883.5,20367.0,1098.7,115.6,False,259297544.0,231508096.0,20870.82
BRIDGEPORT,2013,2811.100000000001,20338.0,1076.9,107.8,False,261470234.0,234019361.0,20484.53
BRIDGEPORT,2014,2864.0,20929.0,1107.3,112.4,False,267927607.0,240139304.0,21008.02
BRIDGEPORT,2015,2968.9999999999995,21244.0,1124.6,117.6,False,264104051.0,232665443.0,21095.81
BRIDGEPORT,2016,3157.9,21191.0,1175.1,117.2,False,273774169.0,234246831.0,20945.51
BRIDGEPORT,2017,2989.9,21222.0,1210.7,112.1,False,,,
BRIDGEPORT,2018,2990.5,20896.0,1191.8,110.5,False,,,
BRISTOL,2002,472.3,,,,True,,,
BRISTOL,2003,1124.6,,528.8,33.3,False,,,
BRISTOL,2004,1162.4999999999998,,520.3,33.3,False,,,
BRISTOL,2005,1204.4,,529.7,34.2,False,,,
BRISTOL,2006,1205.6,,525.3,34.2,False,,,
BRISTOL,2007,1247.1,,531.7,35.2,False,87131000.0,53364000.0,9121.540000000005
BRISTOL,2008,1258.2,8980.0,530.9,35.2,False,121810000.0,90193000.0,9040.16
BRISTOL,2009,1244.5,8866.0,521.3,36.2,False,96364000.0,62075000.0,8913.78
BRISTOL,2010,1238.3,8753.0,513.4,36.2,False,95615000.0,60286000.0,8783.64
BRISTOL,2011,1218.6,8666.0,504.9,36.2,False,96785000.0,60526000.0,8760.049999999997
BRISTOL,2012,1213.8000000000004,8523.0,496.1,35.2,False,100448000.0,66772000.0,8636.53
BRISTOL,2013,1195.7,8365.0,465.1,36.1,False,98435000.0,64542000.0,8503.36
BRISTOL,2014,1188.8,8268.0,457.4,35.2,False,102684000.0,64980000.0,8490.99
BRISTOL,2015,1230.2,8233.0,476.0,35.2,False,104561451.0,67491132.0,8452.27
BRISTOL,2016,1228.4,8170.0,474.9,34.2,False,105974983.0,65965354.0,8392.78
BRISTOL,2017,1233.9,8073.0,468.0,36.2,False,,,
BRISTOL,2018,1220.6,7997.0,457.7,31.2,False,,,
BROOKFIELD,2002,109.0,,,,True,,,
BROOKFIELD,2003,475.4,,198.4,12.7,False,,,
BROOKFIELD,2004,502.89999999999986,,195.6,13.2,False,,,
BROOKFIELD,2005,457.19999999999993,,192.1,13.1,False,,,
BROOKFIELD,2006,453.3,,190.8,14.5,False,,,
BROOKFIELD,2007,445.5,,184.7,13.5,False,34316860.0,4221621.0,3066.44
BROOKFIELD,2008,443.6,2955.0,183.0,12.5,False,45501772.0,14915372.0,2991.2
BROOKFIELD,2009,435.8,2952.0,182.1,13.0,False,37278699.0,5740069.0,3029.69
BROOKFIELD,2010,374.7000000000001,2906.0,174.3,12.3,False,36461447.0,4975659.0,2988.01
BROOKFIELD,2011,433.9,2874.0,178.4,14.3,False,38063564.0,5030421.0,2939.81
BROOKFIELD,2012,436.0,2845.0,183.0,14.3,False,39846302.0,6795024.0,2904.83
BROOKFIELD,2013,434.5,2793.0,180.2,15.0,False,41347563.0,6510324.0,2836.39
BROOKFIELD,2014,432.3,2771.0,180.2,16.0,False,42881832.0,7044108.0,2826.29
BROOKFIELD,2015,430.4,2719.0,180.1,16.0,False,43046911.0,6750156.0,2756.13
BROOKFIELD,2016,428.6,2692.0,171.3,16.0,False,44101873.0,6560717.0,2731.36
BROOKFIELD,2017,434.7,2673.0,164.2,17.0,False,,,
BROOKFIELD,2018,438.0,2639.0,167.1,17.0,False,,,
BROOKLYN,2002,36.2,,,,True,,,
BROOKLYN,2003,145.30000000000004,,61.0,4.0,False,,,
BROOKLYN,2004,142.60000000000005,,58.6,4.0,False,,,
BROOKLYN,2005,149.40000000000003,,61.7,4.0,False,,,
BROOKLYN,2006,150.9,,61.6,4.0,False,,,
BROOKLYN,2007,151.1,,60.6,4.0,False,14303377.0,7697320.0,1373.55
BROOKLYN,2008,147.4,993.0,59.6,4.0,False,15351712.0,8395352.0,1349.13
BROOKLYN,2009,157.1,987.0,61.4,4.0,False,16034423.0,8623293.0,1314.52
BROOKLYN,2010,152.50000000000003,972.0,59.4,3.0,False,16296384.0,8629250.0,1312.93
BROOKLYN,2011,142.70000000000005,957.0,57.4,2.5,False,16379323.0,9114146.0,1285.65
BROOKLYN,2012,99.9,939.0,59.3,2.5,False,16973810.0,9690564.0,1264.51
BROOKLYN,2013,125.0,948.0,58.5,2.0,False,17370720.0,9758964.0,1260.76
BROOKLYN,2014,168.0,926.0,59.5,2.0,False,18141251.0,9903495.0,1239.0
BROOKLYN,2015,175.7,920.0,57.7,2.0,False,18539569.0,9729067.0,1205.71
BROOKLYN,2016,76.10000000000002,908.0,59.7,2.0,True,17955158.0,8359463.0,1225.4
BROOKLYN,2017,77.10000000000002,863.0,59.7,2.0,True,,,
BROOKLYN,2018,180.2,898.0,58.7,2.0,False,,,
CANAAN,2002,48.7,,,,True,,,
CANAAN,2003,80.5,,43.6,1.5,False,,,
CANAAN,2004,81.3,,42.7,1.5,False,,,
CANAAN,2005,79.3,,41.5,1.5,False,,,
CANAAN,2006,83.0,,43.6,1.5,False,,,
CANAAN,2007,81.7,,43.6,1.5,False,2964982.0,662654.0,150.95
CANAAN,2008,81.79999999999998,359.0,43.6,1.5,False,3296366.0,1116548.0,144.31
CANAAN,2009,78.4,85.0,41.2,1.5,False,2718795.0,595087.0,130.5
CANAAN,2010,81.69999999999997,95.0,41.8,1.6,False,2787951.0,584938.0,136.1
CANAAN,2011,80.2,86.0,40.2,1.6,False,2853093.0,603521.0,139.99
CANAAN,2012,79.8,86.0,41.1,1.6,False,3215901.0,688386.0,141.0
CANAAN,2013,80.3,75.0,41.0,1.6,False,3244772.0,687482.0,117.4
CANAAN,2014,81.10000000000002,295.0,40.1,1.5,False,3040647.0,802830.0,114.88
CANAAN,2015,78.8,78.0,38.2,0.5,False,3216778.0,860748.0,111.1
CANAAN,2016,80.2,260.0,38.3,1.5,True,3111571.0,852229.0,111.45
CANAAN,2017,78.1,73.0,38.0,2.4,True,,,
CANAAN,2018,100.3,71.0,38.2,1.4,True,,,
CANTERBURY,2002,26.0,,,,True,,,
CANTERBURY,2003,102.6,,39.0,3.0,True,,,
CANTERBURY,2004,98.5,,37.5,3.0,True,,,
CANTERBURY,2005,105.0,,39.0,3.5,True,,,
CANTERBURY,2006,53.0,,39.0,2.0,True,,,
CANTERBURY,2007,116.2,,38.5,3.0,True,10486071.0,6042062.0,825.0
CANTERBURY,2008,108.0,584.0,39.5,3.0,True,12877890.0,8136662.0,829.91
CANTERBURY,2009,106.9,605.0,40.5,3.0,True,11115591.0,6521505.0,824.7
CANTERBURY,2010,104.5,556.0,39.4,3.0,True,11317718.0,6034454.0,770.26
CANTERBURY,2011,109.2,528.0,38.8,3.0,True,11230443.0,6051232.0,712.94
CANTERBURY,2012,106.0,520.0,38.4,3.0,True,11472655.0,6286761.0,720.98
CANTERBURY,2013,107.8,499.0,39.0,3.0,True,12149799.0,6686359.0,703.89
CANTERBURY,2014,106.4,464.0,37.1,3.0,True,12162679.0,6600658.0,659.64
CANTERBURY,2015,85.8,477.0,37.6,2.0,True,12296025.0,6430703.0,655.62
CANTERBURY,2016,111.0,494.0,35.5,3.0,True,12129756.0,6097579.0,648.58
CANTERBURY,2017,86.4,471.0,35.8,3.0,True,,,
CANTERBURY,2018,107.0,459.0,37.5,3.0,True,,,
CANTON,2002,91.9,,,,True,,,
CANTON,2003,269.0,,101.8,8.5,False,,,
CANTON,2004,289.2,,100.1,8.5,False,,,
