City,report_year,Enrollment,FTE Count,Education spending,has_nulls
CHAPLIN,2009,314.11,47.0,5908056.0,True
CHAPLIN,2010,290.45,45.7,5945322.0,True
CHAPLIN,2011,288.58,42.6,5774865.0,True
CHAPLIN,2012,301.79,42.6,5626443.0,True
CHAPLIN,2013,298.57,41.1,5931939.0,True
CHAPLIN,2014,303.73,41.1,6101752.0,True
CHAPLIN,2015,291.74,42.5,6331588.0,True
CHAPLIN,2016,287.63,41.2,6158721.0,True
CHESHIRE,2007,5141.24,723.5,57588979.0,False
CHESHIRE,2008,5096.8,935.5,59146513.0,False
CHESHIRE,2009,4997.44,737.4000000000001,63051443.0,False
CHESHIRE,2010,4943.37,722.4000000000001,63459814.0,False
CHESHIRE,2011,4792.48,724.0000000000001,65036092.0,False
CHESHIRE,2012,4784.84,722.7,67408514.0,False
CHESHIRE,2013,4654.92,730.9,68815590.0,False
CHESHIRE,2014,4601.12,747.5999999999999,71369932.0,False
CHESHIRE,2015,4527.79,758.0,74575158.0,False
CHESHIRE,2016,4401.39,776.1,75896046.0,False
CLINTON,2007,2130.67,339.9,27684255.0,False
CLINTON,2008,2124.8,338.40000000000003,37475160.0,False
CLINTON,2009,2129.43,347.3,30748842.0,False
CLINTON,2010,2069.22,344.4,31113649.0,False
CLINTON,2011,2083.21,332.3,32137637.0,False
CLINTON,2012,2057.31,341.40000000000003,32273832.0,False
CLINTON,2013,2034.37,344.49999999999994,33124324.0,False
CLINTON,2014,2016.25,343.69999999999993,34066239.0,False
CLINTON,2015,1957.04,346.4000000000001,34191891.0,False
CLINTON,2016,1862.89,337.50000000000006,35148514.0,False
COLCHESTER,2007,3266.66,533.8000000000001,33976567.0,False
COLCHESTER,2008,3264.52,441.4,35822916.0,False
COLCHESTER,2009,3209.93,459.1,36921607.0,False
COLCHESTER,2010,3237.3,484.40000000000003,35813628.0,False
COLCHESTER,2011,3135.15,469.4000000000001,36998747.0,False
COLCHESTER,2012,3062.92,468.09999999999997,40492902.0,False
COLCHESTER,2013,2949.7,457.2,41828767.0,False
COLCHESTER,2014,2847.2,459.80000000000007,43879506.0,False
COLCHESTER,2015,2766.93,440.9,43909369.0,False
COLCHESTER,2016,2705.29,440.3,44296560.0,False
COLEBROOK,2007,256.54,27.599999999999998,3405853.0,True
COLEBROOK,2008,263.39,27.9,4056429.0,True
COLEBROOK,2009,255.79,28.5,3831032.0,True
COLEBROOK,2010,255.02,27.1,3754811.0,True
COLEBROOK,2011,253.2,24.599999999999998,3801654.0,True
COLEBROOK,2012,221.84,25.3,3978880.0,True
COLEBROOK,2013,220.85,25.6,3719089.0,True
COLEBROOK,2014,216.39,27.799999999999997,3781634.0,True
COLEBROOK,2015,199.91,24.700000000000003,3931647.0,True
COLEBROOK,2016,195.34,24.0,3821541.0,True
COLUMBIA,2007,917.1,116.1,11165125.0,False
COLUMBIA,2008,855.8,116.9,14135143.0,False
COLUMBIA,2009,847.13,112.0,11894985.0,False
COLUMBIA,2010,785.83,105.0,11517470.0,False
COLUMBIA,2011,766.3,99.89999999999999,11232034.0,False
