VName,FYEAR,Payment
Eastford,2016,1115561.0
Eastford,2017,1092027.0
Eastford,2018,950624.0
Ellington,2004,7710482.0
Ellington,2005,7778243.0
Ellington,2006,8019544.0
Ellington,2007,8007442.0
Ellington,2008,9121394.0
Ellington,2009,9487035.0
Ellington,2010,8119578.0
Ellington,2011,8133652.0
Ellington,2012,9464509.0
Ellington,2013,9652533.0
Ellington,2014,9677638.0
Ellington,2015,9689494.0
Ellington,2016,9773751.0
Ellington,2017,9700530.0
Ellington,2018,8424841.0
Enfield,2004,22407998.0
Enfield,2005,23256084.0
Enfield,2006,24201663.0
Enfield,2007,24331338.0
Enfield,2008,27152307.0
Enfield,2009,28086586.0
Enfield,2010,24265829.0
Enfield,2011,24209788.0
Enfield,2012,28567636.0
Enfield,2013,28817272.0
Enfield,2014,28953131.0
Enfield,2015,28892001.0
Enfield,2016,29212369.0
Enfield,2017,28570768.0
Enfield,2018,24794788.0
Fairfield,2004,2068725.0
Fairfield,2005,2269631.0
Fairfield,2006,2513849.0
Fairfield,2007,2600786.0
Fairfield,2008,3508748.0
Fairfield,2009,3386915.0
Fairfield,2010,3133977.0
Fairfield,2011,3116116.0
Fairfield,2012,3568073.0
Fairfield,2013,3633181.0
Fairfield,2014,3584813.0
Fairfield,2015,3835128.0
Fairfield,2016,3535104.0
Fairfield,2017,1095886.0
Fairfield,2018,947571.0
Farmington,2004,900897.0
Farmington,2005,1039988.0
Farmington,2006,1107548.0
Farmington,2007,1099629.0
Farmington,2008,1576306.0
Farmington,2009,1602067.0
Farmington,2010,1336510.0
Farmington,2011,1382415.0
Farmington,2012,1580800.0
Farmington,2013,1610310.0
Farmington,2014,1637675.0
Farmington,2015,1617748.0
Farmington,2016,1559944.0
Farmington,2017,1036574.0
Farmington,2018,752106.0
Franklin,2004,780622.0
Franklin,2005,751052.0
Franklin,2006,776792.0
Franklin,2007,784139.0
Franklin,2008,889853.0
Franklin,2009,914278.0
Franklin,2010,778905.0
Franklin,2011,806818.0
Franklin,2012,941462.0
Franklin,2013,949427.0
Franklin,2014,949022.0
Franklin,2015,1079977.0
Franklin,2016,948161.0
Franklin,2017,1056888.0
Franklin,2018,797746.0
Glastonbury,2004,3723771.0
Glastonbury,2005,3802060.0
Glastonbury,2006,3910632.0
