Assignment Category,,Administrators  Coordinators and Department Chairs - District Central Office,Administrators  Coordinators and Department Chairs - School Level,Counselors  Social Workers  and School Psychologists,General Education - Paraprofessional Instructional Assistants,General Education - Teachers and Instructors,Instructional Specialists Who Support Teachers,Library/Media - Specialists (Certified),Library/Media - Support Staff,Other Staff Providing Non-Instructional Services/Support,School Nurses,Special Education - Paraprofessional Instructional Assistants,Special Education - Teachers and Instructors
Educator Type,,Certified,Certified,Certified,Non-Certified,Certified,Certified,Certified,Non-Certified,Certified/Non-Certified,Non-Certified,Non-Certified,Certified
City,report_year,,,,,,,,,,,,
BOZRAH,2014,0.7,1.0,0.8,0.0,19.0,1.0,,1.0,9.2,1.0,10.0,4.0
BOZRAH,2015,0.4,1.2,0.9,0.0,19.0,1.0,,1.0,9.2,1.0,8.5,3.0
BOZRAH,2016,,1.6,0.9,0.0,17.5,1.0,,1.0,9.2,1.0,10.0,3.5
BRANFORD,2016,5.0,11.8,15.4,,225.5,6.0,5.0,,,,,28.0
BROOKLYN,2016,1.4,3.0,2.0,,59.7,1.0,2.0,,,,,7.0
CANAAN,2007,0.5,1.0,1.0,7.1,31.6,1.0,,0.0,8.6,0.9,4.2,4.0
CANAAN,2009,0.4,1.0,1.0,6.5,29.6,,1.0,0.0,8.8,0.9,3.6,4.0
CANAAN,2015,0.5,1.0,,4.1,27.7,1.0,1.0,0.0,9.0,0.9,6.8,5.0
CANAAN,2016,,1.5,1.0,4.1,27.7,1.0,1.0,0.0,9.0,0.9,6.9,5.0
CANTERBURY,2007,2.0,2.0,3.0,4.6,38.5,2.0,,2.0,43.7,2.0,9.4,7.0
CANTERBURY,2008,1.0,2.0,3.0,5.7,39.5,1.0,,2.0,38.1,2.0,8.7,5.0
CANTERBURY,2009,2.0,2.0,3.0,5.7,40.5,1.0,,2.0,34.9,2.0,9.8,4.0
CANTERBURY,2010,2.0,2.0,3.0,4.5,39.4,1.0,,1.6,32.3,2.0,12.7,4.0
CANTERBURY,2011,2.0,2.0,3.0,5.1,38.8,1.0,,1.6,35.2,2.0,14.5,4.0
CANTERBURY,2012,2.0,2.0,3.0,4.1,38.4,1.0,,0.6,35.5,2.0,13.4,4.0
CANTERBURY,2013,1.0,2.0,3.0,3.5,39.0,1.0,,1.6,34.2,2.0,16.5,4.0
CANTERBURY,2014,2.0,2.0,3.0,4.0,37.1,1.0,,1.6,35.1,2.0,14.6,4.0
CANTERBURY,2015,2.2,3.0,2.0,4.8,37.6,1.0,,1.6,14.5,2.0,13.1,4.0
CANTERBURY,2016,2.2,2.0,3.0,8.2,35.5,1.0,,1.6,31.3,2.0,19.7,4.5
CHAPLIN,2007,0.7,1.0,1.0,4.8,18.6,2.0,,2.0,10.5,1.0,3.0,3.0
CHAPLIN,2008,0.2,1.0,1.0,4.8,19.0,2.0,,2.0,6.3,1.0,4.0,3.0
CHAPLIN,2009,0.2,1.0,1.0,4.8,18.5,2.0,,2.0,10.5,1.0,3.0,3.0
CHAPLIN,2010,0.2,1.0,1.0,5.0,17.0,2.0,,2.0,10.5,1.0,3.0,3.0
CHAPLIN,2011,0.2,1.0,1.0,4.0,15.9,2.0,,2.0,10.5,1.0,3.0,2.0
CHAPLIN,2012,0.2,1.0,1.0,4.0,16.4,2.0,,2.0,10.0,1.0,3.0,2.0
CHAPLIN,2013,0.2,1.0,1.0,4.0,15.4,2.0,,2.0,10.0,1.0,3.0,1.5
CHAPLIN,2014,0.2,1.0,1.0,3.5,15.4,2.0,,2.0,10.0,1.0,3.0,2.0
CHAPLIN,2015,,1.3,1.0,3.1,17.1,2.0,,2.0,10.0,1.0,3.0,2.0
CHAPLIN,2016,,1.0,1.0,3.1,16.3,0.8,,2.0,11.0,1.0,3.0,2.0
COLEBROOK,2007,0.6,0.4,0.4,3.7,7.8,1.4,,1.0,6.2,1.0,3.9,1.2
