City,report_year,FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
CHAPLIN,2011,42.6,True,5774865.0,2661287.0,288.58
CHAPLIN,2012,42.6,True,5626443.0,2646028.0,301.79
CHAPLIN,2013,41.1,True,5931939.0,2611637.0,298.57
CHAPLIN,2014,41.1,True,6101752.0,2725419.0,303.73
CHAPLIN,2015,42.5,True,6331588.0,2854128.0,291.74
CHAPLIN,2016,41.2,True,6158721.0,2704394.0,287.63
CHESHIRE,2007,723.5,False,57588979.0,19550029.0,5141.24
CHESHIRE,2008,935.5,False,59146513.0,21637810.0,5096.8
CHESHIRE,2009,737.4000000000002,False,63051443.0,22600186.0,4997.44
CHESHIRE,2010,722.4000000000002,False,63459814.0,20817817.0,4943.37
CHESHIRE,2011,724.0000000000001,False,65036092.0,21973811.0,4792.48
CHESHIRE,2012,722.7,False,67408514.0,23993678.0,4784.84
CHESHIRE,2013,730.9,False,68815590.0,23677909.0,4654.92
CHESHIRE,2014,747.5999999999998,False,71369932.0,24543872.0,4601.12
CHESHIRE,2015,758.0,False,74575158.0,25852837.0,4527.79
CHESHIRE,2016,776.1,False,75896046.0,25313541.0,4401.39
CLINTON,2007,339.9,False,27684255.0,9340640.0,2130.67
CLINTON,2008,338.4000000000001,False,37475160.0,18180031.0,2124.8
CLINTON,2009,347.3,False,30748842.0,9965372.0,2129.43
CLINTON,2010,344.4,False,31113649.0,10091741.0,2069.22
CLINTON,2011,332.3,False,32137637.0,10133578.0,2083.21
CLINTON,2012,341.4000000000001,False,32273832.0,11674036.0,2057.31
CLINTON,2013,344.49999999999994,False,33124324.0,11389907.0,2034.37
CLINTON,2014,343.69999999999993,False,34066239.0,11757984.0,2016.25
CLINTON,2015,346.40000000000015,False,34191891.0,10931383.0,1957.04
CLINTON,2016,337.50000000000006,False,35148514.0,11393179.0,1862.89
COLCHESTER,2007,533.8000000000002,False,33976567.0,16604214.0,3266.66
COLCHESTER,2008,441.4,False,35822916.0,18442383.0,3264.52
COLCHESTER,2009,459.1,False,36921607.0,18522145.0,3209.93
COLCHESTER,2010,484.4,False,35813628.0,16597510.0,3237.3
COLCHESTER,2011,469.40000000000015,False,36998747.0,16821153.0,3135.15
COLCHESTER,2012,468.1,False,40492902.0,19517186.0,3062.92
COLCHESTER,2013,457.2,False,41828767.0,19347462.0,2949.7
COLCHESTER,2014,459.80000000000007,False,43879506.0,19727811.0,2847.2
COLCHESTER,2015,440.9,False,43909369.0,19483781.0,2766.93
COLCHESTER,2016,440.3,False,44296560.0,19575213.0,2705.29
COLEBROOK,2007,27.6,True,3405853.0,762763.0,256.54
COLEBROOK,2008,27.9,True,4056429.0,1292929.0,263.39
COLEBROOK,2009,28.5,True,3831032.0,884172.0,255.79
COLEBROOK,2010,27.1,True,3754811.0,833648.0,255.02
COLEBROOK,2011,24.6,True,3801654.0,987607.0,253.2
COLEBROOK,2012,25.3,True,3978880.0,959753.0,221.84
COLEBROOK,2013,25.6,True,3719089.0,907870.0,220.85
COLEBROOK,2014,27.8,True,3781634.0,979543.0,216.39
COLEBROOK,2015,24.700000000000006,True,3931647.0,1026933.0,199.91
COLEBROOK,2016,24.0,True,3821541.0,929084.0,195.34
COLUMBIA,2007,116.1,False,11165125.0,3516645.0,917.1
COLUMBIA,2008,116.9,False,14135143.0,6621012.0,855.8
COLUMBIA,2009,112.0,False,11894985.0,4528289.0,847.13
COLUMBIA,2010,105.0,False,11517470.0,4203162.0,785.83
COLUMBIA,2011,99.9,False,11232034.0,3600505.0,766.3
COLUMBIA,2012,93.2,False,11931065.0,4299003.0,737.82
COLUMBIA,2013,89.5,False,12036200.0,4064965.0,722.44
COLUMBIA,2014,85.2,False,12716452.0,4564047.0,705.4400000000003
COLUMBIA,2015,86.2,False,12592285.0,5107112.0,701.12
COLUMBIA,2016,85.89999999999998,False,13317717.0,4737038.0,697.64
CORNWALL,2007,30.3,False,3770035.0,542507.0,201.6
CORNWALL,2008,29.2,False,4411874.0,1217468.0,201.31
CORNWALL,2009,28.3,False,4016396.0,610758.0,186.05
CORNWALL,2010,28.2,False,4082378.0,667164.0,182.19
CORNWALL,2011,30.3,True,4042208.0,530071.0,169.3
CORNWALL,2012,30.0,True,4096802.0,1049616.0,159.88
CORNWALL,2013,30.4,True,4283594.0,1005494.0,152.7
CORNWALL,2014,30.1,True,4268248.0,714591.0,144.15
CORNWALL,2015,28.6,True,4227939.0,606972.0,133.1
CORNWALL,2016,29.2,True,4320167.0,676544.0,128.41
COVENTRY,2007,314.5,True,22712102.0,9893591.0,2115.82
COVENTRY,2008,315.1,False,31080910.0,18003325.0,2074.67
COVENTRY,2009,318.6,False,25815014.0,12365688.0,2024.59
COVENTRY,2010,304.69999999999993,False,25029076.0,10890396.0,1987.86
COVENTRY,2011,288.1,False,25860037.0,10795520.0,1927.34
COVENTRY,2012,305.6,False,27995105.0,12694185.0,1889.13
COVENTRY,2013,304.69999999999993,False,28131806.0,12829292.0,1853.0
COVENTRY,2014,304.9,False,29631593.0,13186656.0,1820.3
COVENTRY,2015,315.5,False,29541973.0,12421409.0,1777.4
COVENTRY,2016,328.6,False,30014124.0,12724221.0,1736.74
CROMWELL,2007,288.0,False,24063006.0,5367574.0,1996.86
CROMWELL,2008,288.4,False,32372132.0,13374918.0,1983.49
CROMWELL,2009,313.5,False,26760282.0,6776783.0,2009.77
